id	type	message	created_time	comments	likes	commentsandlikes
222540354541008_308997195895323	link	Em 2008_ a Islândia converteu-se no foco de atenção para os movimentos sociais progressistas do mundo inteiro já que os três únicos bancos (privatizados ou privados) colapsaram_ fruto da crise do Lehman Brothers Bank nos Estados Unidos. Para surpresa dos observadores mundiais como dos próprios islandeses_ manifestações foram realizadas frente ao Parlamento Islandês com milhares de participantes. Em poucas semanas o Governo tinha caído e tinha ido embora o diretor do banco central.__A isto se seguiu um ato ainda mais impactante que foi o uso – pela primeira vez na história – da prerrogativa presidencial de não assinar um decreto lei que teria forçado os islandeses a pagar impostos_ compensando as poupanças britânicas e holandesas pelo dinheiro perdido em seus investimentos no país. Isso conduziu a um referendo nacional em Março de 2010 no qual não foi aprovado o decreto_ depois foi redigida uma segunda proposta de arranjo e teve lugar um segundo referendo em que também foi rejeitada a proposta.__A crise levou à convocação para redigir uma nova Constituição. Para tanto_ foram realizadas eleições para eleger os 25 membros que redigissem a nova constituição. No entanto_ a Corte Suprema sustentou que dito corpo colegiado era ilegal. Então o Parlamento citou às mesmas 25 pessoas eleitas para uma comissão que elaborasse um rascunho de constituição que pudesse ser adotada pelo Parlamento.__Até aqui o conhecimento geral de grande parte do mundo. Os ativistas falam sobre o estupendo modelo da Islândia como se fosse um país que derrubou o governo e encarcerou os banqueiros irresponsáveis. Isso é verdade_ mas o que tem mudado desde então?__Pressenza está na Islândia para cobrir a visita do humanista chileno Tomás Hirsch_ convidado pelo Partido Humanista local para discutir com ativistas a respeito da experiência de desenvolver campanhas políticas em outros países. E estamos aproveitando esta oportunidade para atualizar dados sobre a Revolução Islandesa. Sucede que os artigos mais lidos de Pressenza_ em sua versão em Inglês_ são justamente os que dizem respeito à Islândia.__Então que se passou com a Constituição? Que controles dos bancos foram feitos? Como foi se desenvolvendo a democracia real? Estas foram as perguntas que nos interessou responder.__Mas as respostas não são muito inspiradoras…__A comissão de 25 membros para redigir a Constituição tinha as mãos amarradas desde o começo pelo veredicto da Corte respeito de sua ilegalidade. De modo que o Parlamento_ ao invés de legalizar o processo_ decidiu instruir a comissão para que trabalhasse um rascunho que o Parlamento mesmo pudesse depois aprovar_ recusar ou modificar.__Os resultados foram desanimadores. Em primeiro lugar_ ela não produziu propostas para a regulação dos bancos e os três novos bancos atuais (que substituíram os três que colapsaram) têm toda a liberdade de fazer exatamente o mesmo que se fez antes. Nenhum islandês com o que conversamos acha que os bancos se comportarão no futuro com a mesma irresponsabilidade de antes_ mas não existem propostas que regulem suas atividades.__Por outra parte_ alguns temas parecem positivos. Por exemplo_ existe um artigo que diz que os recursos nacionais pertencem à nação.__Mas o ponto é que não há sinal alguma por parte do governo que demostre a menor intenção de levar à prática as propostas_ apesar de que estas foram submetidas a referendo nacional e aprovadas por aproximadamente dois terços dos votantes.__De maneira que existe um processo de redação de uma constituição ao que se priva de todo poder vinculante_ uma constituição que é preparada sem atacar os assuntos relativos à crise financeira nem aos bancos_ e depois_ um governo que se nega a adotar as mudanças propostas!__Não estávamos muito preparados para estas respostas. Imaginávamos uma constituição inspiradora_ baseada no valor dos direitos humanos_ novos mecanismos para uma democracia real e direta bem como controles bancários_ mas nisso a Revolução Islandesa tem fracassado.__Os ativistas com os que conversamos estão_ em sua grande maioria_ desmoralizados e um pouco desiludidos_ em alguns casos com todo o processo. Ainda há gente lutando para proteger as pessoas mais vulneráveis da sociedade_ usando mecanismos legais disponíveis e existe uma proliferação de novos partidos políticos que se preparam para as eleições gerais de Abril deste ano_ mas não está ocorrendo nenhuma mudança estrutural.__Sigríður Þorgeirsdóttir_ Professor de filosofia da Universidade de Islândia_ explicou-nos que as mudanças do sistema têm sido cosméticas. Os 4 principais partidos políticos trocaram seus líderes mas “o sistema em seu conjunto segue intacto.”__“O melhor agora é que a corrupção é óbvia_ mas os políticos têm muito pouca diferença.”__O Professor explicou que na Islândia o poder real não está na política_ está em mãos das “agências externas”_ as que os humanistas chamamos ‘o Grande Capital’. A este respeito_ é evidente que a Islândia não é diferente do resto do mundo_ e tal como as revoluções que têm acontecido na Tunísia ou no Egito_ as tentativas da Espanha e os movimentos sociais como o Occupy Wall Street_ a Revolução Islandesa tem ficado bastante a dever com respeito aos ideais propostos por seus protagonistas._	2013-04-01T21:09:42+0000	0	1	1
222540354541008_308952045899838	photo		2013-04-01T18:06:34+0000	0	1	1
222540354541008_308377215957321	photo	A VERDADE DÓI... MAS LIBERTA!__ __Sempre é tempo de mudar...	2013-03-31T12:16:35+0000	0	0	0
222540354541008_306864352775274	photo	Coro orquestra e encenação___esperamos vc lá!__Rua Ten Francisco ferreira de Souza 1444 - HAUER - CURITIBA - PR	2013-03-28T01:06:24+0000	0	0	0
222540354541008_306439539484422	link	A presidente poderia dedicar algumas horas à história do trabalhismo janguista_ e certamente concluirá que relações incestuosas_ com o peleguismo_ jamais trarão resultados benéficos ao País. http://www.franciscocastro.com.br/blog/?p=3872	2013-03-26T22:09:01+0000	0	0	0
222540354541008_306370362824673	photo	SERÁ QUE O POVO BRASILEIRO TEM VOCAÇÃO PARA “MULHER DE MALANDRO”?__ __Só pode ser essa a explicação para que_ com todas as mazelas administrativas vistas na atual gestão_ tantos sejam os brasileiros que ainda declaram a intenção de votar pela reeleição da presidente.__ __Ou será que a causa desses altos índices de aprovação nas pesquisas de intenção de votos_ sejam por conta do maciço investimento na formação de um monumental contingente de “ELEITORES BOLSISTAS”?	2013-03-26T17:59:57+0000	0	0	0
222540354541008_306295992832110	photo	DILMA ROUSSEFF EM DOIS TEMPOS!__ __Qual será a verdadeira Dilma?	2013-03-26T13:42:43+0000	0	0	0
222540354541008_305995316195511	photo	COISAS DESSE BRASIL TIRIRICA!__As fotos abaixo_ tiradas na tarde de hoje_ em frente a agencia do Banco do Brasil de Olinda-PE_ são exemplos clássicos da falta de educação que impera no cotidiano do povo brasileiro_ adepto contumaz da tristemente famosa “Lei de Gerson”. __Note que esse lugar onde as motos estão paradas é exatamente a área reservada para estacionamento de motoristas portadores de deficiência motora.__Será que esses motoqueiros acreditam que o espaço em questão também pode ser ocupado por quem sofre de “deficiência de caráter”?	2013-03-25T19:30:12+0000	0	0	0
222540354541008_305836939544682	photo	COISAS DESSE BRASIL PETRALHA!__ __O cinismo dessa gente é uma arte...	2013-03-25T11:14:16+0000	0	0	0
222540354541008_305835802878129	photo	SEM VERGONHA_ SOMOS UM PAÍS SEM VERGONHA!__ __Até quando os brasileiros continuarão fazendo papel de otários_ deixando-se enrolar por esse _magote de políticos maracuteiros_?	2013-03-25T11:08:03+0000	0	0	0
